,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
120,337700.0,59600.0,397300.0,95051,2.0,2,23.0,1,G,1,0,1004,P,,,1041,871.0,37.357285,-121.997755
121,215291.0,502347.0,717638.0,94610,1.5,3,84.0,1.5,G,0,0,1001,,,,2124,6716.0,37.806112999999996,-122.23198
122,43571.0,47929.0,91500.0,94565,1.0,2,36.0,,Y,2,0,1001,,,,792,5500.0,38.02102,-121.924386
123,344154.0,292531.0,636685.0,94556,2.0,3,24.0,,Y,2,0,1009,,,,1905,4500.0,37.82985,-122.135914
124,56138.0,187211.0,243349.0,95138,4.5,5,5.0,2,G,2,0,1001,,,,4488,20909.0,37.284257,-121.792937
125,268541.0,89510.0,358051.0,94801,1.0,1,106.0,,,0,0,1001,,,,911,3000.0,37.929832,-122.392448
126,174000.0,194000.0,368000.0,94558,2.0,4,39.0,,Y,2,0,1001,,1,,1785,9448.0,38.303602,-122.305638
127,196302.0,166430.0,362732.0,95138,2.0,2,14.0,1,G,2,0,1004,,,,1590,436.0,37.280536,-121.761723
128,33243.0,0.0,33243.0,95035,0.0,0,,,,0,0,8001,,,,0,871.0,37.434183,-121.90599399999999
129,297668.0,276020.0,573688.0,94559,1.0,3,57.0,,,0,0,1110,,1,,1053,7405.0,38.302566999999996,-122.296725
130,280471.0,519176.0,799647.0,94901,4.0,3,31.0,,Y,2,1,1001,,,,3897,11250.0,37.985523,-122.470973
131,0.0,0.0,0.0,95110,1.0,2,101.0,1,G,0,0,1001,,,,1052,3920.0,37.328430999999995,-121.887614
132,163500.0,381500.0,545000.0,94609,2.0,3,99.0,1,G,0,0,1001,,,,1398,4160.0,37.84769,-122.263024
133,414000.0,385000.0,799000.0,95472,1.0,2,85.0,1,,0,1,1008,,,,842,5.4499998,38.426625,-122.844682
134,95185.0,75508.0,170693.0,94941,2.0,3,72.0,,Y,1,1,1001,,,,1689,23400.0,37.909155,-122.551075
135,494353.0,204222.0,698575.0,94024,2.0,3,56.0,1,G,1,0,1001,,,,1770,10890.0,37.374421999999996,-122.103022
136,178578.0,242870.0,421448.0,95014,0.0,0,51.0,1,V,2,2,1101,,,,1752,5663.0,37.311831999999995,-122.012399
137,190963.0,130090.0,321053.0,95035,3.0,4,49.0,2,,0,0,1001,,,,1998,6098.0,37.432586,-121.87307
138,266023.0,547526.0,813549.0,94549,3.25,5,46.0,,Y,4,0,1001,P,,,3569,2.5899999,37.882357,-122.097538
